Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
1,USA,"10,41,96,861","11,32,935","10,13,22,779","17,41,147","1,15,98,32,679","33,48,05,269"
232,Tokelau1,5,,,5,,"1,400"
